Receiver_Address	Token_ID	Amount	usd	price	fractions	Round	Airdropped
0x77b175d193a19378031F4a81393FC0CBD5cF4079	1587	1	50			GR14	yes
0x2958d6d9105ecf1b652d70f3885a59815cbe745b	1587	1				GR15 POAP	yes
0xd969fc9e59bd77e508a9bd53ebeda289d38aacab	1587	1				GR15 POAP	yes
0xdeb0804d5e54d49c1923da459730e66b60eead6b	1587	1				GR15 POAP	yes
0x7bc1d6e8150d4c96917901c26c922dd64654b3c3	1587	1				GR15 POAP	yes
0xeff421cc724a1a1d4ff311ebec9e613afe7b59c1	1587	1				GR15 POAP	yes
0x78c96850dfacede6c9235f50da3fb688270f4509	1587	1				GR15 POAP	yes
0x5b4a0ae9a19306f1cf3d9aa227248750908be506	1587	1				GR15 POAP	yes
0xca72c93172ba6eff168e59e7f17c3c7a8fea9b62	1587	1				GR15 POAP	yes
0x522fd4a52d2f87c20e70dbe35d7a18649d1b3243	1587	1				GR15 POAP	yes
0x500b7be3c9a6d81db4431cd28d8a6a9e24326e6c	1587	1				GR15 POAP	yes
0x32b3ce9e24b41d3b367dc0746cef713a650cf38e	1587	1				GR15 POAP	yes
0x0b1cc662b9de9514fdbe4d68aa1f1892c57fee3d	1587	1				GR15 POAP	yes
0x76e4dc565426c6146f14d3e3aa99135f77dea876	1587	1				GR15 POAP	yes
0x8ba78d8041d7b5cd814ac3d91e342e109bd5b0ba	1587	1				GR15 POAP	yes
0x8bd49c4038bae512e46b1406f3204bfa0715f73a	1587	1				GR15 POAP	yes
0xaef1889d58677805399c6f8326c11d159b09caf2	1587	1				GR15 POAP	yes
0x1ec1a2a376e58a55c4e5e2e2a36f3bab65df54e7	1587	1				GR15 POAP	yes
0x20da165deb81dbb042fe4a9d4808399ef2477c5d	1587	1				GR15 POAP	yes
0xebe9e867a59c4d1c656847b069f918ac6b9f093b	1587	1				GR15 POAP	yes
0x23abe6f62f5c5a2c344af481bac776637fce2768	1587	1				GR15 POAP	yes
0x21f53db4d2eacde70a2e4f0407d073c971ec1a33	1587	1				GR15 POAP	yes
0xb8f77a3d6497f916a4d1f3a799b56647cfc9b21f	1587	1				GR15 POAP	yes
0x8e8d8006d5e79ac313d2b72c2543cdb9c7b07c01	1587	1				GR15 POAP	yes
0x4252bf89d4225c587c797820028f7fef080c33f4	1587	1				GR15 POAP	yes
0x5076f87610ff3d5f859d562a050dae82f6b3c63e	1587	1				GR15 POAP	yes
0x634ea5142039756816418931aab3a26e7a209f8c	1587	1				GR15 POAP	yes
0xa29fddec9c36bdd680d3f5867735ff8949a7f15d	1587	1				GR15 POAP	yes
0x84e1056ed1b76fb03b43e924ef98833dba394b2b	1587	1				GR15 POAP	yes
0xfabbdfc4d456b53b0118e3843cfd4aea7c228ae3	1587	1				GR15 POAP	yes
0x04a0de0735367763af7aa361425e12d888170ba9	1587	1				GR15 POAP	yes
0xfb40932271fc9db9dbf048e80697e2da4aa57250	1587	1				GR15 POAP	yes
0x65dc104d435c61acbb7362eba64cce708d0708d7	1587	1				GR15 POAP	yes
0xd70a9dcd0753dd7ad9cc49d434b91659a6165512	1587	1				GR15 POAP	yes
0x124d05e1cf1316141463224e3b9a9592044ee325	1587	1				GR15 POAP	yes
0xea886349d44aa81de644f0f02105707f563103e6	1587	1				GR15 POAP	yes
0xdb48c58b7689b4b99d2bd062fc03c1297b8b302d	1587	1				GR15 POAP	yes
0xe965fbf5ce2d69da6b76d375638872a77880d62a	1587	1				GR15 POAP	yes
0x50418699cb44bfda9c9afc9b7a0b0d244d8927d2	1587	1				GR15 POAP	yes
0xdb904032032ce85249c6da5ee1b397f9c1839641	1587	1				GR15 POAP	yes
0x1426fbd146942e153653863cbe633780c17268da	1587	1				GR15 POAP	yes
0xce6a6162cb2349f88b9e418d88b609119ac558ee	1587	1				GR15 POAP	yes
0xe559e959b891b14eb5a9dde45c61b1aeb0b6df4b	1587	1				GR15 POAP	yes
0xdae86856e402b68dd167159ca31b30355f5b8f12	1587	1				GR15 POAP	yes
0x877236b7a0de2d3fee09b9358b9e267460577447	1587	1				GR15 POAP	yes
0x4b3391477d74968137c26cdcaa836715ea0d8e8b	1587	1				GR15 POAP	yes
0x8dc5460e8addc7def96b1f0cdb2cd38f4a643510	1587	1				GR15 POAP	yes
0x91aa395c4537569627ec15ca8ef4a76fe507e4dd	1587	1				GR15 POAP	yes
0xb8afab52cf30762bb80d2a2c5905588bf275077a	1587	1				GR15 POAP	yes
0x0ea26051f7657d59418da186137141cea90d0652	1587	1				GR15 POAP	yes
0x28d2f80d2663b0bd039a77f1c88240d81b486d02	1587	1				GR15 POAP	yes
0xcd818a14c8c74426d417b0e04ea227bd5a243ca0	1587	1				GR15 POAP	yes
0xab2418d7fd16ea8e0c55ea377d3198d1c043ed82	1587	1				GR15 POAP	yes
0x64766a112b319dbcd77e3b20dff62b15693c2c70	1587	1				GR15 POAP	yes
0x99db2a94be116af598e78fdd5a56c910d36025bf	1587	1				GR15 POAP	yes
0xda1b289d97e7cb78227430f21f7d050192802935	1587	1				GR15 POAP	yes
0x4a35674727c44cf4375d80c6171281ba2f764213	1587	1				GR15 POAP	yes
0x68f1173ae6d96a11d05f6dbd7d3226855e4c4c5b	1587	1				GR15 POAP	yes
0x2ecf616b218431fd985f8c087ce7608a6a2fbc3a	1587	1				GR15 POAP	yes
0xb7201b9ecd0733552c30a8bf0e800330cf6c37b0	1587	1				GR15 POAP	yes
0x96e6475cbc8ddc4c64b23b4f31eb2c942691404e	1587	1				GR15 POAP	yes
0xe7ba45d6f915ca58ce3aa4a07f7330d75a5957f5	1587	1				GR15 POAP	yes
0x681bb473da4045b26fabc040ca9c6c5e80cbd451	1587	1				GR15 POAP	yes
0x65ad2bf7e09af2597c140df6386a3003d0f5f8ee	1587	1				GR15 POAP	yes
0xab2418d7fd16ea8e0c55ea377d3198d1c043ed82	1587	1	976.79	0	976	Gitcoin Alpha	yes
0x679d87d8640e66778c3419d164998e720d7495f6	1587	1	200	0	200	Gitcoin Alpha	yes
0x96706eb471f875a9a41442f358d3b34ba02f868b	1587	1	160.56	0	160	Gitcoin Alpha	yes
0xef0ca09fbf9a5f61e657fb208b46b8685c1d4766	1587	1	40.91	0	40	Gitcoin Alpha	yes
0x32b3ce9e24b41d3b367dc0746cef713a650cf38e	1587	1	40.27	0	40	Gitcoin Alpha	yes
0x7587cfbd20e5a970209526b4d1f69dbaae8bed37	1587	1	38.06	0	38	Gitcoin Alpha	yes
0x50418699cb44bfda9c9afc9b7a0b0d244d8927d2	1587	1	31.81	0	31	Gitcoin Alpha	yes
0x41112e39abe62a21011f92845e1a875c289f9122	1587	1	20.63	0	20	Gitcoin Alpha	yes
0xbda4446d94d907fee2f6b7846a0320045a2e9949	1587	1	15.9	0	15	Gitcoin Alpha	yes
0x08ffc612c6b16b4c24dd61241d62c0bc5ac2295b	1587	1	15.85	0	15	Gitcoin Alpha	yes
0x4bce767b2c4fec12e0426da9ca1b92e2a12b4369	1587	1	15.79	0	15	Gitcoin Alpha	yes
0x616cad18642f45d3fa5fcaad0a2d81764a9cba84	1587	1	15.35	0	15	Gitcoin Alpha	yes
0x8b48fd5c06f23c63a18fd04d8c8dc657087a74a7	1587	1	14.88	0	14	Gitcoin Alpha	yes
0xce6a6162cb2349f88b9e418d88b609119ac558ee	1587	1	11.27	0	11	Gitcoin Alpha	yes
